epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,46990.4,1.09797,1.71846,1.56031,0.39304,0.07106,0.05776,0.01787,2.61528,4.53695,3.35646,8.13246e-05,8.13246e-05,8.13246e-05
80,47521.6,1.1053,1.72555,1.56764,0.40309,0.05895,0.0584,0.0172,2.67169,4.45189,3.44743,7.77903e-05,7.77903e-05,7.77903e-05
81,48060.7,1.10747,1.73216,1.57576,0.41371,0.05565,0.05737,0.01859,2.771,4.44817,3.46334,7.4256e-05,7.4256e-05,7.4256e-05
82,48593.3,1.08502,1.65786,1.54948,0.40471,0.05822,0.05748,0.01827,2.71051,4.50769,3.42859,7.07217e-05,7.07217e-05,7.07217e-05
83,49121.5,1.11445,1.73079,1.57315,0.73564,0.0448,0.06036,0.02016,2.66553,4.54662,3.44594,6.71874e-05,6.71874e-05,6.71874e-05
84,49648.5,1.0759,1.69403,1.53016,0.36493,0.09667,0.06365,0.01972,2.70148,4.48688,3.41217,6.36531e-05,6.36531e-05,6.36531e-05
85,50173.3,1.09295,1.68851,1.55795,0.30238,0.08447,0.05694,0.01827,2.71948,4.42654,3.47116,6.01188e-05,6.01188e-05,6.01188e-05
86,50698.5,1.07113,1.64988,1.54057,0.3504,0.06555,0.05867,0.02176,2.67055,4.50447,3.36726,5.65845e-05,5.65845e-05,5.65845e-05
87,51223.5,1.06469,1.63506,1.5388,0.40156,0.05541,0.06085,0.02125,2.61878,4.47719,3.42858,5.30502e-05,5.30502e-05,5.30502e-05
88,51748.2,1.06173,1.63849,1.5363,0.44492,0.05999,0.06416,0.02154,2.65366,4.48828,3.52214,4.95159e-05,4.95159e-05,4.95159e-05
89,52276.3,1.0448,1.60459,1.50815,0.22942,0.07937,0.05185,0.01993,2.67928,4.51962,3.4601,4.59816e-05,4.59816e-05,4.59816e-05
90,52800.5,1.05924,1.63252,1.5324,0.66825,0.04327,0.05654,0.01985,2.64797,4.48051,3.49761,4.24473e-05,4.24473e-05,4.24473e-05
91,53320.7,1.11587,1.62742,1.7687,0.13108,0.07506,0.05029,0.01724,2.64702,4.46173,3.45723,3.8913e-05,3.8913e-05,3.8913e-05
92,53838.8,1.06379,1.53227,1.71972,0.16179,0.05621,0.05255,0.01789,2.65653,4.43722,3.46704,3.53787e-05,3.53787e-05,3.53787e-05
93,54352.2,1.0425,1.4925,1.7153,0.30437,0.07889,0.05458,0.01787,2.67207,4.43082,3.4588,3.18444e-05,3.18444e-05,3.18444e-05
94,54864.2,1.00776,1.43163,1.68504,0.22519,0.0644,0.05337,0.01761,2.69431,4.38389,3.47158,2.83101e-05,2.83101e-05,2.83101e-05
95,55373.4,1.00209,1.4491,1.65127,0.18616,0.09319,0.05886,0.02009,2.70557,4.3404,3.44551,2.47758e-05,2.47758e-05,2.47758e-05
96,55883.6,1.00774,1.42304,1.66676,0.13473,0.11511,0.05844,0.02113,2.69924,4.3928,3.46082,2.12415e-05,2.12415e-05,2.12415e-05
